11111111:<-1.0>,,11111111
11111111:<-1.0>,,11111111
11111111:<-1.0>,,11111111
11111110:<-2.0>,,11111110
11111110:<-2.0>,,11111110
11111110:<-2.0>,,11111110
11111111:<-1.0>,,11111111
00000000:<0.0>,,00000000
00000001:<1.0>,,00000001
00000010:<2.0>,,00000010
00000100:<4.0>,,00000100
00000101:<5.0>,,00000101
00000101:<5.0>,,00000101
00000101:<5.0>,,00000101
00000011:<3.0>,,00000011
11111111:<-1.0>,,11111111
11111011:<-5.0>,,11111011
11110110:<-10.0>,,11110110
11110001:<-15.0>,,11110001
11101101:<-19.0>,,11101101
11101100:<-20.0>,,11101100
11101110:<-18.0>,,11101110
11110100:<-12.0>,,11110100
00000000:<0.0>,,00000000
00001111:<15.0>,,00001111
00100010:<34.0>,,00100010
00110111:<55.0>,,00110111
01001100:<76.0>,,01001100
01100000:<96.0>,,01100000
01101111:<111.0>,,01101111
01111001:<121.0>,,01111001
01111101:<125.0>,,01111101
01111001:<121.0>,,01111001
01101111:<111.0>,,01101111
01100000:<96.0>,,01100000
01001100:<76.0>,,01001100
00110111:<55.0>,,00110111
00100010:<34.0>,,00100010
00001111:<15.0>,,00001111
00000000:<0.0>,,00000000
11110100:<-12.0>,,11110100
11101110:<-18.0>,,11101110
11101100:<-20.0>,,11101100
11101101:<-19.0>,,11101101
11110001:<-15.0>,,11110001
11110110:<-10.0>,,11110110
11111011:<-5.0>,,11111011
11111111:<-1.0>,,11111111
00000011:<3.0>,,00000011
00000101:<5.0>,,00000101
00000101:<5.0>,,00000101
00000101:<5.0>,,00000101
00000100:<4.0>,,00000100
00000010:<2.0>,,00000010
00000001:<1.0>,,00000001
00000000:<0.0>,,00000000
11111111:<-1.0>,,11111111
11111110:<-2.0>,,11111110
11111110:<-2.0>,,11111110
11111110:<-2.0>,,11111110
11111111:<-1.0>,,11111111
11111111:<-1.0>,,11111111
11111111:<-1.0>,,11111111
